"Mass loss in decomposing needles during 5 years of study (mean ± standard error, *n* = 9).",,,,,
Incubation Days,% Initial organic matter,SE Difference,Year,Basal area removed by thinning,Graph Label
0,100,-,2000,0,GARDE Continental forest (CF)
0,100,-,2000,0.2,GARDE Continental forest (CF)
0,100,-,2000,0.3,GARDE Continental forest (CF)
28.45,85.13,2.32,2000,0,GARDE Continental forest (CF)
28.45,91.33,3.24,2000,0.2,GARDE Continental forest (CF)
28.45,88.67,1.6,2000,0.3,GARDE Continental forest (CF)
58.5,86.12,5.01,2000,0,GARDE Continental forest (CF)
58.5,88.33,unknown,2000,0.2,GARDE Continental forest (CF)
58.5,86.55,unknown,2000,0.3,GARDE Continental forest (CF)
83.75,82.43,3.15,2000,0,GARDE Continental forest (CF)
83.75,86.47,4.6,2000,0.2,GARDE Continental forest (CF)
83.75,84.31,1.12,2000,0.3,GARDE Continental forest (CF)
142,80.64,2.05,2001,0,GARDE Continental forest (CF)
142,84.27,1.34,2001,0.2,GARDE Continental forest (CF)
142,81.2*,-,2001,0.3,GARDE Continental forest (CF)
203.4,77.54,2.56,2001,0,GARDE Continental forest (CF)
203.4,80.15,1.79,2001,0.2,GARDE Continental forest (CF)
203.4,82.16,1.94,2001,0.3,GARDE Continental forest (CF)
261.5,76.02,3.62,2001,0,GARDE Continental forest (CF)
261.5,81.02,3.6,2001,0.2,GARDE Continental forest (CF)
261.5,80.68,2.17,2001,0.3,GARDE Continental forest (CF)
325.2,78.32,unknown,2001,0,GARDE Continental forest (CF)
325.2,76.45,unknown,2001,0.2,GARDE Continental forest (CF)
325.2,76.05,unknown,2001,0.3,GARDE Continental forest (CF)
386.3,71.5,2.89,2001,0,GARDE Continental forest (CF)
386.3,76.13,2.69,2001,0.2,GARDE Continental forest (CF)
386.3,71.98,2.4,2001,0.3,GARDE Continental forest (CF)
475.8,70.4,4.69,2002,0,GARDE Continental forest (CF)
475.8,69.95,5.19,2002,0.2,GARDE Continental forest (CF)
475.8,67.1,3.26,2002,0.3,GARDE Continental forest (CF)
521.7,65.49,2.76,2002,0,GARDE Continental forest (CF)
521.7,65.71,3.35,2002,0.2,GARDE Continental forest (CF)
521.7,64.62,6.78,2002,0.3,GARDE Continental forest (CF)
573.7,64.91,2.87,2002,0,GARDE Continental forest (CF)
573.7,64.22,4.33,2002,0.2,GARDE Continental forest (CF)
573.7,63.91,3.58,2002,0.3,GARDE Continental forest (CF)
631.1,62.33,4.36,2002,0,GARDE Continental forest (CF)
631.1,59.25,7.34,2002,0.2,GARDE Continental forest (CF)
