"Table 1 Site characteristics (mean ± standard error) Stands descriptors from Puertas (2001) and Iriarte and Puertas (2003) <sup>a Eighteen and ten tree species identified in Aspurz and Garde, respectively <sup>b Sixty-six and fifty-two shrub and herb species identified in Aspurz and Garde, respectively <sup>c Trees with DBH > 7.5 cm <sup>d Measured averaging (n = 100) the height of the thickest dominant trees per hectare <sup>e Measured by double cross measurement <sup>f Percentage of canopy (from the lowest dead branch to tree top) occupied by branches with green leaves",,
Site,ASPURZ,GARDE
,Mediterranean forest (MF),Continental forest (CF)
Latitude,42°48?50? N,42°42?31? N
Longitude,52?30? W,1°8?40? W
Altitude (m),625,1335
Slope(%),7,40
Soil,Haplic Alisol,Dystric Cambisol
Mean Temperature (°C),12,8.2
Mean precipitation (mm),912,1268
"Climate type (Papadakis, 1970)",Cold wet Mediterranean,Cold wet continental
Other overstory tree species<sup>a,*Fagussylvatica* L.,*Fagussylvatica* L.
,*Rubus ulmifolius* Schott,*Pteridium aquilinum* (L.) Kuhn
*Tree stand before thinning*,,
Site index at stand age 80 years(m),29,23
Age (years),32,37
Density (stems ha$^-1$)<sup>c,4040 ± 326,3230 ± 162
Dominant height (m)<sup>d,15.1 ± 0.4,14.3 ± 0.2
Mean DBH (cm)<sup>e,11.7 ± 0.5,13.8 ± 0.3
Volume (m$^3$ ha$^-1$),270.7 ± 11.9,290.1 ± 10.5
Basal area (m$^2$ ha$^-1$),41.2 ± 0.9,47.8 ± 1.6
Fraction of live canopy (%)<sup>f,40.8 ± 1.2,54.6 ± 1.7
