"Table 4 Initial chemical composition of senescent needles. All values in mg g$^-1$ (mean ± SE, *n* = 3) Significant differences between sites were only found for lignin and N (ANOVA, *p* < 0.05). For within-site comparisons, significant differences were only found for K in Garde (P0 > P30, *p* = 0.043, linear contrast). The latter result was probably due to differences among thinning intensities in throughfall reaching senescent litter, before litter collection.",,,,,,
Site,Aspurz,Aspurz,Aspurz,Garde,Garde,Garde
,Mediterranean forest (MF),Mediterranean forest (MF),Mediterranean forest (MF),Continental forest (CF),Continental forest (CF),Continental forest (CF)
Basal area removed,0%,20%,30%,0%,20%,30%
C,483.13 ± 0.15,483.91 ± 0.23,483.13 ± 0.11,486.61 ± 5.61,483.52 ± 3.23,483.54 ± 3.32
Cellulose,259.83 ± 2.91,260.52 ± 3.30,255.64 ± 4.01,261.11 ± 4.71,263.63 ± 6.11,257.34 ± 5.92
Lignin,182.21 ± 28.12,246.82 ± 35.51,190.41 ± 27.83,235.43 ± 9.81,256.52 ± 0.92,237.70 ± 4.92
N,11.22 ± 0.43,13.34 ± 1.54,11.01 ± 0.74,8.63 ± 0.92,9.40 ± 1.12,10.71 ± 0.72
P,0.70 ± 0.03,0.92 ± 0.12,0.76 ± 0.01,0.80 ± 0.07,0.84 ± 0.07,0.86 ± 0.12
K,4.90 ± 0.30,4.52 ± 0.22,4.29 ± 0.14,4.55 ± 0.53,4.41 ± 0.59,3.42 ± 0.25
Ca,3.44 ± 0.58,5.05 ± 0.81,4.77 ± 0.36,5.06 ± 0.80,5.34 ± 1.51,3.59 ± 0.99
Mg,0.84 ± 0.04,1.19 ± 0.25,0.87 ± 0.04,1.05 ± 0.04,1.12 ± 0.03,0.94 ± 0.05
