"Table 1. Site characteristics (mean  ± standard error). Stands descriptors from @Puertas2001 and @Iriarte2003. $^a$ Eighteen and ten tree species identified in Aspurz and Garde, respectively $^b$ Sixty-six and fifty-two shrub and herb species identified in Aspurz and Garde, respectively $^c$ Trees with DBH > 7.5 cm $^d$ Measured averaging (*n* = 100) the height of the thickest dominat trees per hectare $^e$ Measured by double cross measurement $^f$ Percentage of canopy (from the lowest dead branch to tree top) occupied by branches with green leaves",,
Site,ASPURZ Mediterranean forest (MF),GARDE Continental forest (CF)
Latitude,"42°48'50"" N","42°42'31"" N"
Longitude,"52'30"" W","1°8'40"" W"
Altitude (m),625,1335
Slope (%),7,40
Soil,Haplic Alisol,Dystric Cambisol
Mean Temperature  (°C),12.0,8.2
Mean precipitation (mm),912,1268
Climate type (@Papadakis1970),Cold wet Mediterrranean,Cold wet continental
Other overstory tree species$^a$,"*Fagus sylvactica* L., *Quercus humilis* L.",*Fagus slyvactia* L.
Dominant understory species,"*Pteridium aquilinum* (L.) Kuhn, *Rubus ulmifolius* Schott","*Deschampsia flexuosa* L., *Pteridium aquilinum* (L.) Kuhn"
Tree stand before thinning: Site index at stand age 80 years (m),29,23
Tree stand before thinning: Age (years),32,37
Tree stand before thinning: Density (stems ha$^{-1}$)$^c$,4040 ± 326,3230  ± 162
Tree stand before thinning: Dominant height (m)$^d$,15.1  ± 0.4,14.3  ± 0.2
Mean DBH (cm)$^c$,11.7  ± 0.5,13.8  ± 0.3
Volume (m$^3$ ha$^{-1}$),270.7  ± 11.9,290.1  ± 10.5
Basal area (m$2$ ha$^{-1}$),41.2  ± 0.9,47.8  ± 1.6
Fraction of live canopy (%)$^f$,40.8  ± 1.2,54.6  ± 1.7
