"**FIGURE 2 | Remaining litter biomass (%) at the end of a 6-month decomposition experiment, preceded by photodegradation in the field.** Samples from the field experiment are shown by open (UV+) or filled symbols (UV-). The laboratory experiment included irrigation treatments representing years with contrasting annual rainfall. Irrigation treatments represented the equivalent rainfall of a dry year (~15 mm), an average year (140 mm) and wet (El Nino) year (240 mm) in semiarid Chile. The experiment was conducted under constant temperature (23C). **(A)** Remaining litter biomass *Proustia* and **(B)** *Porlieria*. Data are means +- 1 SE.",,,,,,
y value,SE High,x value,y axis label,x axis label,graph label,UV treatment
84.79,88.13,10.91,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV+
97.87,100.0,10.25,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV-
49.96,53.16,150.13,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV+
59.39,62.89,150.13,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV-
31.86,39.01,240.74,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV +
35.21,39.62,240.74,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV-
96.20,99.09,11.39,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV+
96.20,99.09,11.39,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV-
86.46,93.61,149.37,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV+
89.50,93.61,149.37,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV-
14.45,NA,239.87,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV+
14.24,14.64,239.87,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV-
