"Fig. 4. Basal Respiration (a), Metabolic quotient qCO$_2$ (b) and AWCD calculated from Biolog after 45 h after 2 (June), 5 (September), and 13 (May) months. Litterbags C10/C10 (black) and C10/C300 (white) are litters from area C10 placed in area C10 or C300, respectively. Litterbags C300/C300 (gray) and C300/C10 (dash) are litters from area C300 placed in area C300 or C10, respectively. The different letters show significant differences of means according to Kruskal–Wallis non parametric comparison (p < 0.05) between the litterbags tested separately for each sampling time. Error bars are SE (n = 3). At t0 BR, qCO$_2$ and AWCD were respectively in C10 and C300: 43 (±2), 49 (±2), 2.9 (±0.0), 3.5 (±0.0), 0.6 (±0.0), and 0.8 (±0.0).",,,,,,
x value,SE high x value,x label,y label,graph label,litterbag type,footnotes
88.4,92.6,June 2009,μg CO2-C gdw$^{-1}$,a,C10/C10,a
87.5,89.6,June 2009,μg CO2-C gdw$^{-1}$,a,C10/C300,a
87.8,98.0,June 2009,μg CO2-C gdw$^{-1}$,a,C300/C300,a
82.2,94.4,June 2009,μg CO2-C gdw$^{-1}$,a,C300/C10,a
53.0,55.7,September 2009,μg CO2-C gdw$^{-1}$,a,C10/C10,ab
49.7,53.3,September 2009,μg CO2-C gdw$^{-1}$,a,C10/C300,a
58.1,61.6,September 2009,μg CO2-C gdw$^{-1}$,a,C300/C300,b
67.6,71.5,September 2009,μg CO2-C gdw$^{-1}$,a,C300/C10,c
45.0,50.9,May 2010,μg CO2-C gdw$^{-1}$,a,C10/C10,a
61.6,62.8,May 2010,μg CO2-C gdw$^{-1}$,a,C10/C300,b
62.5,67.0,May 2010,μg CO2-C gdw$^{-1}$,a,C300/C300,b
53.6,58.7,May 2010,μg CO2-C gdw$^{-1}$,a,C300/C10,a
5.31,5.66,June 2009,qCO$^2$,b,C10/C10,a
5.48,5.56,June 2009,qCO$^2$,b,C10/C300,a
5.81,6.78,June 2009,qCO$^2$,b,C300/C300,a
5.37,6.22,June 2009,qCO$^2$,b,C300/C10,a
3.56,3.80,September 2009,qCO$^2$,b,C10/C10,a
3.49,3.80,September 2009,qCO$^2$,b,C10/C300,a
4.59,4.94,September 2009,qCO$^2$,b,C300/C300,b
5.66,6.49,September 2009,qCO$^2$,b,C300/C10,b
2.91,3.35,May 2010,qCO$^2$,b,C10/C10,a
3.99,4.22,May 2010,qCO$^2$,b,C10/C300,b
4.47,4.84,May 2010,qCO$^2$,b,C300/C300,b
3.41,3.66,May 2010,qCO$^2$,b,C300/C10,a
0.359,0.368,June 2009,ACWD 45h,c,C10/C10,a
0.350,0.389,June 2009,ACWD 45h,c,C10/C300,a
0.651,0.70,June 2009,ACWD 45h,c,C300/C300,b
0.482,0.540,June 2009,ACWD 45h,c,C300/C10,b
0.820,0.950,September 2009,ACWD 45h,c,C10/C10,a
0.914,1.07,September 2009,ACWD 45h,c,C10/C300,ab
0.941,1.03,September 2009,ACWD 45h,c,C300/C300,ab
1.06,1.12,September 2009,ACWD 45h,c,C300/C10,b
0.60,0.642,May 2010,ACWD 45h,c,C10/C10,a
0.772,-,May 2010,ACWD 45h,c,C10/C300,b
0.751,0.781,May 2010,ACWD 45h,c,C300/C300,b
0.594,0.609,May 2010,ACWD 45h,c,C300/C10,a
