"Figure 2: Effects of position treatments on litter decomposition in the semi-arid ecosystem. Symbols indicate litter mass remaining (%) over time under different position treatments. The inset shows the litter decomposition rate, k (year^-1) with black bar representing surface litter and grey bar representing standing litter. Values are means +- SE (n = 3). Different letters and the asterisks indicate significant difference between surface and standing litter based on independent samples t-test. *P<0.05; **P<0.01. P, position; T, time.",,
Time (days),Litter mass remaining (%),Litter type
0,100,Standing
29.39,93.93,Standing
55.11,79.82,Standing
86.34,69.35,Standing
115.73,53.11,Standing
315.96,49.77,Standing
344.43,44,Standing
382,39.45,Standing
407.81,37.48,Standing
473.02,19.12,Standing
709.99,15.93,Standing
786.22,5.92,Standing
29.39,98.63,Surface
55.11,80.58,Surface
85.42,65.1,Surface
114.8,57.66,Surface
316.88,57.97,Surface
344.43,46.89,Surface
383,49.62,Surface
407.81,51.44,Surface
473.02,42.34,Surface
709.99,31.26,Surface
786.22,29.29,Surface
