"Figure 2: Effects of position treatments on litter decomposition in the semi-arid ecosystem. Symbols indicate litter mass remaining (%) over time under different position treatments. The inset shows the litter decomposition rate, k (year^?1) with black bar representing surface litter and grey bar representing standing litter. Values are means +/- SE (*n* = 3). Different letters and the asterisks indicate significant difference between surface and standing litter based on independent samples t-test. *P < 0·05; **P < 0·01. P, position; *T*, time.",,
Time (days),Litter mass remaining (%),Litter type
0,100,Surface
30,98.7,Surface
55,80.6,Surface
87,65.7,Surface
116,57.5,Surface
318,57.6,Surface
342,47.1,Surface
383,49.8,Surface
407,51.3,Surface
471,42.4,Surface
711,31.1,Surface
786,29.2,Surface
0,100,Standing
30,94.1,Standing
55,80.0,Standing
86,69.5,Standing
115,53.1,Standing
316,49.8,Standing
345,43.9,Standing
383,39.5,Standing
407,37.4,Standing
473,18.9,Standing
710,16.0,Standing
786,5.9,Standing
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
